brewery,beertype,rating,name,ABV
Thisted Bryghus,LAGER,3.5,Thy Classic,4.6
Thisted Bryghus,LAGER,2,Thisted Julefnug,5.8
Thisted Bryghus,LAGER,2,Thisted Thy Ã˜kologisk Classic,4.6
Thisted Bryghus,LAGER,2,Ã˜kologisk Thy Pilsner,4.6
Thisted Bryghus,LAGER,3.5,Thisted Thy Ã˜kologisk Jule Ren,7.9
Thisted Bryghus,LAGER,4,Thy Pilsner,4.6
Thisted Bryghus,LAGER,3,Porse Guld,5.8
Bryggeriet S.C. Fuglsang,LAGER,3.5,Fuglsang FÃ¸nix,5.4
Bryggeriet S.C. Fuglsang,LAGER,2.5,Fuglsang Black Bird,5
BFM Brasserie Des Franches-Montagnes,LAGER,3.5,La Cuirvee,5.2
Heineken St.Petersburg Brewery Ltd.,LAGER,1.5,Bochkarev Svetloye,4.5
Heineken St.Petersburg Brewery Ltd.,LAGER,4.5,Ohota Extra Light,3.2
Heineken St.Petersburg Brewery Ltd.,LAGER,2.5,Bochkarev Bochkovoye,4
Heineken St.Petersburg Brewery Ltd.,LAGER,3.5,Ohota Krepkoye (Strong),8
Heineken St.Petersburg Brewery Ltd.,LAGER,3,Bochkarev Klassicheskoe,5.5
Heineken St.Petersburg Brewery Ltd.,LAGER,4,Bochkarev Krepkoye (Strong),8
Heineken St.Petersburg Brewery Ltd.,LAGER,3,Ohota,4.5
"Compania Cervecera Kunstmann, S.A.",LAGER,3,Valdivia Blonde,5
UNICER UniÃ£o Cervejeira S.A.,LAGER,2.5,Cristal,5.1
UNICER UniÃ£o Cervejeira S.A.,LAGER,3.5,Super Bock Stout,5
UNICER UniÃ£o Cervejeira S.A.,LAGER,3,Cristal Preta,4.2
UNICER UniÃ£o Cervejeira S.A.,LAGER,3,Super Bock Abadia Gold,6.8
UNICER UniÃ£o Cervejeira S.A.,LAGER,4,Super Bock Abadia,6.4
UNICER UniÃ£o Cervejeira S.A.,LAGER,1,Marina,5
Halifax Steam Brewing Company Ltd,LAGER,3,Luftkissenfahrzeug,4.6
Hotel Der Waldkater,LAGER,2.5,Hartinger Ã–ko Dunkel,4.5
Hancock Bryggerierne,LAGER,3.5,Hancock HÃ¸ker Bajer,5
Hancock Bryggerierne,LAGER,4,Hancock Black Lager,5
Brouwerij Roman N.V.,LAGER,3,Roman Export,4.5
Brouwerij Roman N.V.,LAGER,3,Black Hole,5.6
Brouwerij Roman N.V.,LAGER,3,Romy Pils,5.1
Kichesippi Beer Co.,LAGER,2,Heritage Premium Lager,4.5
Kichesippi Beer Co.,LAGER,3,Heritage Traditional Dark,4.5
Red Oak Brewery,LAGER,4,Battlefield Black,4.7
DistelhÃ¤user Brauerei,LAGER,4.5,DistelhÃ¤user Landbier,5.1
Red Oak Brewery,LAGER,3.5,Big Oak,7
Brauerei Weitra,LAGER,4,Hadmar,5.2
Brauerei Weitra,LAGER,3.5,Weitra BrÃ¤u Helles,5
Keltic Brewing Company,LAGER,4,Keltic Lager,5
Der HirschBrau/Privatbrauerei HÃ¶ss,LAGER,2.5,AllgÃ¤uer Ã–kobier,5.2
Cerveceria Revolucion,LAGER,3.5,10 MaradÃ³,5
"Russkaya Pivovarennaya Kompaniya ""Chmelyoff""",LAGER,3.5,Aristokrat Blagorodnoye,4.5
"Russkaya Pivovarennaya Kompaniya ""Chmelyoff""",LAGER,2,Aristokrat Svetloye,4.5
"Russkaya Pivovarennaya Kompaniya ""Chmelyoff""",LAGER,4,Khmelyoff,4
Micro Cervejaria Bamberg,LAGER,3.5,Bamberg Helles,5.2
Micro Cervejaria Bamberg,LAGER,3.5,Bamberg MÃ¼nchen,4.8
Mack Bryggeri,LAGER,2.5,Haakon,4.5
Mack Bryggeri,LAGER,2,Pilsner,4.7
Mack Bryggeri,LAGER,1.5,Arctic Experience,4.7
Mack Bryggeri,LAGER,3,Arctic Beer,4.5
Mack Bryggeri,LAGER,3.5,Bayer,4.5
Irkutskpisheprom,LAGER,2.5,Gubernatorskoye,9.4
Irkutskpisheprom,LAGER,4,Rozhdyenniye V SSSR - Yantarnoye,4
Irkutskpisheprom,LAGER,2.5,Brandmaiyor,6.6
Irkutskpisheprom,LAGER,3.5,Rozhdyenniye V SSSR - Rizhskoye,4.5
Irkutskpisheprom,LAGER,2,Rozhdyenniye V SSSR - Dvoynoye Zolotoye,5
Irkutskpisheprom,LAGER,2.5,Prazdnichnoye,6.2
Irkutskpisheprom,LAGER,2.5,Admiral Kolchak,5.4
Der HirschBrau/Privatbrauerei HÃ¶ss,LAGER,2.5,Neuschwansteiner Das Echte,4.7
Der HirschBrau/Privatbrauerei HÃ¶ss,LAGER,3.5,Holzar-Bier,5.2
Der HirschBrau/Privatbrauerei HÃ¶ss,LAGER,3.5,Hirsch-Gold,5.2
Der HirschBrau/Privatbrauerei HÃ¶ss,LAGER,4,Neuschwansteiner,4.7
